,Unnamed: 0,year,month,days,hour,minute,second,depth,latitude,longitude,magnitude,station,station_latitude,station_longitude,pga,sa0.01,sa0.02,sa0.03,sa0.05,sa0.07,sa0.1,sa0.15,sa0.2,sa0.25,sa0.3,sa0.4,sa0.5,sa0.75,sa1,sa1.5,sa2,sa3,sa4,sa5,sa7.5,sa10,Vs30,HVSRamp,fpeak,T*,P*,Rock/Soil,event_type,HypDist,RupDist,JBDist,XDist,Azimuth,RupDepth,Strike,Dip,Rake
0,0,2015,1,9,18,35,1,23.6325,-34.19,-72.39,4.7,V16A,-33.5904426574707,-71.6045913696289,0.0045,0.0045,0.0046,0.00486,0.00591,0.00766,0.00939,0.0119,0.0233,0.0103,0.00589,0.00383,0.00228,0.000612,0.000288,0.000161,9.3e-05,3.71e-05,1.95e-05,1.1e-05,-12300.0,-12300.0,477,2,5.60,-12345,-12345,-12345,Inter,101.29,101.29,98.49,87.27,47.75,23.6325,0.0,0.0,105.0
1,1,2018,5,11,21,57,42,25.8195,-32.75,-71.87,4.5,V02A,-33.02313995361328,-71.517822265625,0.0238,0.0238,0.0247,0.0257,0.0333,0.0557,0.0926,0.0604,0.0246,0.0131,0.00787,0.00477,0.00262,0.00111,0.000693,0.000295,0.000175,7.04e-05,3.64e-05,2.46e-05,-12300.0,-12300.0,596,2,6.04,sII,C,Rock,Inter,51.67,51.67,44.76,39.13,132.69,25.8195,0.0,0.0,105.0
3,3,2018,5,11,21,57,42,25.8195,-32.75,-71.87,4.5,V07A,-33.36536407470703,-71.66898345947266,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,549,1,5.72,sVI,B,Rock,Inter,75.34,75.34,70.78,22.33,164.67,25.8195,0.0,0.0,105.0
4,4,2018,5,11,21,57,42,25.8195,-32.75,-71.87,4.5,V12A,-32.45008850097656,-71.23664093017578,0.00533,0.00533,0.00547,0.0057,0.00724,0.0104,0.0183,0.0125,0.016,0.00864,0.00504,0.00332,0.00217,0.000817,0.000401,0.000163,8.32e-05,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,347,3,2.05,-12345,-12345,-12345,Inter,72.85,72.85,68.13,70.37,60.95,25.8195,0.0,0.0,105.0
6,6,2018,5,11,21,57,42,25.8195,-32.75,-71.87,4.5,V18A,-33.05150604248047,-71.33802032470703,0.0063,0.0063,0.00644,0.00685,0.0103,0.0126,0.0135,0.0151,0.0179,0.0112,0.00525,0.00262,0.00146,0.000708,0.000337,0.000124,9.49e-05,3.66e-05,1.88e-05,1.5e-05,-12300.0,-12300.0,492,3,4.10,sIII,C,Soil,Inter,65.28,65.28,59.96,59.11,124.04,25.8195,0.0,0.0,105.0
7,7,2018,5,11,21,57,42,25.8195,-32.75,-71.87,4.5,V01A,-33.053077697753906,-71.62202453613281,0.00518,0.00518,0.00539,0.00549,0.00766,0.0124,0.0135,0.017,0.00644,0.00579,0.00512,0.00357,0.00293,0.00168,0.000757,0.000311,0.000141,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,607,0,-,sII,B,Rock,Inter,48.32,48.32,40.84,27.55,145.45,25.8195,0.0,0.0,105.0
9,9,2018,5,11,21,57,42,25.8195,-32.75,-71.87,4.5,V03A,-33.05513381958008,-71.43859100341797,0.0182,0.0182,0.0186,0.0197,0.0297,0.0345,0.0509,0.0404,0.0341,0.0147,0.00921,0.00468,0.00263,0.0012,0.000665,0.000295,0.00015,7.14e-05,3.65e-05,2.37e-05,-12300.0,-12300.0,575,3,5.50,sII,C,Soil,Inter,58.66,58.66,52.67,47.93,130.09,25.8195,0.0,0.0,105.0
11,11,2018,5,11,21,57,42,25.8195,-32.75,-71.87,4.5,V13A,-32.50616455078125,-71.44186401367188,0.00578,0.00577,0.00622,0.00725,0.0108,0.0151,0.0137,0.0121,0.0111,0.00742,0.0043,0.00156,0.000892,0.000418,0.00026,0.000154,9.26e-05,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,357,3,3.52,-12345,-12345,-12345,Inter,54.88,54.88,48.43,47.57,56.17,25.8195,0.0,0.0,105.0
12,12,2019,4,18,4,6,33,60.5,-29.37,-71.6,5.7,C17O,-29.90437126159668,-71.23792266845703,0.0444,0.0444,0.0447,0.0455,0.0531,0.0771,0.0702,0.134,0.11,0.117,0.118,0.121,0.065,0.0211,0.0149,0.00616,0.00294,0.0011,0.000552,0.000359,0.000169,9.64e-05,529,0,-,-12345,-12345,-12345,Intra,91.64,92.89,56.79,32.45,149.47,73.5,183.0,15.0,-82.0
13,13,2019,4,18,4,6,33,60.5,-29.37,-71.6,5.7,A25C,-28.95532989501953,-70.89570617675781,0.0583,0.0586,0.107,0.189,0.0938,0.128,0.088,0.149,0.0587,0.0513,0.0355,0.0408,0.019,0.0116,0.00435,0.00116,0.000827,0.000354,0.000214,0.000134,-12300.0,-12300.0,-12345,-12345,-12345.0,sII,A,Soil,Intra,102.31,111.07,83.27,70.48,56.32,73.5,183.0,15.0,-82.0
14,14,2019,4,18,4,6,33,60.5,-29.37,-71.6,5.7,A22C,-28.75487518310547,-70.48554229736328,0.105,0.106,0.109,0.114,0.126,0.16,0.216,0.341,0.183,0.249,0.209,0.157,0.0598,0.0144,0.00919,0.00318,0.00178,0.000754,0.00039,-12300.0,-12300.0,-12300.0,-12345,-12345,-12345.0,sIII,B,Soil,Intra,141.73,147.8,128.23,116.05,58.13,73.5,183.0,15.0,-82.0
15,15,2019,4,18,4,6,33,60.5,-29.37,-71.6,5.7,C08O,-31.18721008300781,-71.0008316040039,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,827,1,1.63,-12345,-12345,-12345,Intra,218.1,211.32,198.12,58.8,164.18,73.5,183.0,15.0,-82.0
16,16,2019,4,18,4,6,33,60.5,-29.37,-71.6,5.7,A27C,-27.367122650146484,-70.33073425292969,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,473,2,6.70,sVI,B,Soil,Intra,261.55,270.2,260.01,133.25,29.58,73.5,183.0,15.0,-82.0
17,17,2019,4,18,4,6,33,60.5,-29.37,-71.6,5.7,A24C,-29.09847068786621,-70.4608154296875,0.0406,0.0406,0.0418,0.0553,0.0845,0.0797,0.115,0.0676,0.0926,0.0978,0.0716,0.0386,0.0154,0.00496,0.00308,0.00119,0.000651,0.00027,0.000157,-12300.0,-12300.0,-12300.0,-12345,-12345,-12345.0,sIII,C,Soil,Intra,129.74,133.43,111.36,118.8,75.08,73.5,183.0,15.0,-82.0
18,18,2019,4,18,4,6,33,60.5,-29.37,-71.6,5.7,C13O,-30.579296112060547,-71.49453735351562,0.00824,0.00824,0.0083,0.00927,0.0123,0.0152,0.0212,0.0222,0.0162,0.0171,0.0171,0.018,0.0161,0.00452,0.00162,0.000756,0.000418,0.000174,0.000109,-12300.0,-12300.0,-12300.0,505,3,1.75,sIV,B,Soil,Intra,147.42,144.25,124.12,3.94,175.68,73.5,183.0,15.0,-82.0
19,19,2019,4,18,4,6,33,60.5,-29.37,-71.6,5.7,A07C,-27.37405204772949,-70.31777954101562,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,441,3,2.51,-12345,-12345,-12345,Intra,261.5,270.09,259.9,134.69,29.91,73.5,183.0,15.0,-82.0
20,20,2019,4,18,4,6,33,60.5,-29.37,-71.6,5.7,C29O,-30.60111618041992,-71.20122528076172,0.0164,0.0164,0.0211,0.0292,0.0373,0.0304,0.036,0.0237,0.0211,0.0144,0.015,0.0166,0.0105,0.00816,0.00272,0.00123,0.000445,0.00019,0.000112,6.35e-05,-12300.0,-12300.0,799,1,1.10,-12345,-12345,-12345,Intra,154.16,149.7,130.41,36.53,164.35,73.5,183.0,15.0,-82.0
21,21,2019,4,18,4,6,33,60.5,-29.37,-71.6,5.7,C01O,-29.876951217651367,-71.23789978027344,0.0727,0.0726,0.0747,0.0776,0.0981,0.161,0.16,0.218,0.162,0.146,0.126,0.0879,0.0391,0.0298,0.011,0.00487,0.00234,0.00096,0.000481,0.000312,0.000148,8.42e-05,447,1,1.04,sVI,B,Rock,Intra,89.71,91.31,54.18,32.46,148.12,73.5,183.0,15.0,-82.0
22,22,2019,4,18,4,6,33,60.5,-29.37,-71.6,5.7,C23O,-31.783763885498047,-70.96979522705078,0.00894,0.00895,0.00998,0.0142,0.0233,0.0302,0.0288,0.0195,0.0144,0.0131,0.0108,0.00904,0.00752,0.00243,0.000972,0.000393,0.000158,8.13e-05,3.94e-05,2.58e-05,-12300.0,-12300.0,751,3,2.10,-12345,-12345,-12345,Intra,280.93,273.23,263.16,62.24,167.43,73.5,183.0,15.0,-82.0
23,23,2019,4,18,4,6,33,60.5,-29.37,-71.6,5.7,C19O,-30.09342384338379,-71.36896514892578,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,1106,0,-,sI,-,Rock,Intra,102.91,102.83,71.92,17.89,164.48,73.5,183.0,15.0,-82.0
24,24,2019,4,18,4,6,33,60.5,-29.37,-71.6,5.7,C20O,-29.968141555786133,-71.33738708496094,0.0497,0.0497,0.0549,0.0642,0.113,0.114,0.107,0.0951,0.086,0.0934,0.0852,0.0525,0.049,0.0266,0.0121,0.00385,0.00205,0.000903,0.000445,0.000293,0.000117,-12300.0,737,2,1.24,sV,C,Soil,Intra,93.29,94.46,59.33,21.4,159.09,73.5,183.0,15.0,-82.0
25,25,2019,4,18,4,6,33,60.5,-29.37,-71.6,5.7,C09O,-29.510543823242188,-71.20014953613281,0.229,0.228,0.276,0.397,0.507,0.396,0.815,0.262,0.182,0.0875,0.0554,0.0312,0.022,0.00905,0.00396,0.00127,0.000793,0.000355,0.000184,0.000132,6.21e-05,-12300.0,754,1,6.21,sII,B,Rock,Intra,73.54,80.36,32.48,36.65,111.98,73.5,183.0,15.0,-82.0
26,26,2019,4,18,4,6,33,60.5,-29.37,-71.6,5.7,C22O,-29.96549224853516,-71.35113525390625,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,1228,0,-,sI,-,Soil,Intra,92.72,94.03,58.64,19.87,160.01,73.5,183.0,15.0,-82.0
28,28,2019,4,18,4,6,33,60.5,-29.37,-71.6,5.7,C18O,-30.277767181396484,-70.66920471191406,0.0433,0.0433,0.0507,0.0669,0.102,0.0967,0.111,0.178,0.0867,0.0449,0.0347,0.0134,0.0103,0.00388,0.00181,0.00102,0.000579,0.000173,0.000104,7.41e-05,-12300.0,-12300.0,-12345,-12345,-12345.0,sII,C,Soil,Intra,147.92,143.3,123.02,95.64,138.43,73.5,183.0,15.0,-82.0
29,29,2019,4,18,4,6,33,60.5,-29.37,-71.6,5.7,C16O,-29.879154205322266,-71.27141571044922,0.0735,0.0735,0.0751,0.098,0.117,0.155,0.135,0.2,0.189,0.111,0.169,0.0973,0.0607,0.0352,0.0169,0.00546,0.00297,0.000977,0.000574,0.000367,-12300.0,-12300.0,281,3,1.30,-12345,-12345,-12345,Intra,88.65,90.49,52.78,28.73,150.66,73.5,183.0,15.0,-82.0
30,30,2019,4,18,4,6,33,60.5,-29.37,-71.6,5.7,C07O,-31.633604049682617,-71.16753387451172,0.00556,0.00558,0.00702,0.0117,0.0161,0.0134,0.0128,0.0123,0.00777,0.00568,0.00542,0.00437,0.00264,0.0012,0.000581,0.000252,0.000119,5.51e-05,2.98e-05,1.71e-05,7.96e-06,-12300.0,654,2,5.32,sIII,C,Soil,Intra,261.45,254.32,243.47,40.27,170.72,73.5,183.0,15.0,-82.0
31,31,2019,4,18,4,6,33,60.5,-29.37,-71.6,5.7,C33O,-29.91072654724121,-71.25083923339844,0.0488,0.0488,0.0495,0.0522,0.0593,0.0753,0.0985,0.14,0.0935,0.122,0.0872,0.0901,0.0577,0.017,0.0122,0.0051,0.00264,0.000857,0.000444,-12300.0,-12300.0,-12300.0,587,1,3.20,sIII,B,Rock,Intra,91.63,92.89,56.8,31.02,150.66,73.5,183.0,15.0,-82.0
32,32,2019,4,18,4,6,33,60.5,-29.37,-71.6,5.7,A04C,-27.2995662689209,-70.41317749023438,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,534,3,1.13,-12345,-12345,-12345,Intra,264.29,273.33,263.26,124.09,27.18,73.5,183.0,15.0,-82.0
33,33,2019,4,18,4,6,33,60.5,-29.37,-71.6,5.7,C06O,-29.91786766052246,-71.20087432861328,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12345,-12345,-12345.0,sI,-,Rock,Intra,94.03,94.83,59.92,36.57,147.63,73.5,183.0,15.0,-82.0
35,35,2019,4,18,4,6,33,60.5,-29.37,-71.6,5.7,A29C,-27.421749114990234,-70.25968170166016,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,622,3,3.80,-12345,-12345,-12345,Intra,259.87,268.16,257.89,141.15,31.64,73.5,183.0,15.0,-82.0
37,37,2019,4,18,4,6,33,60.5,-29.37,-71.6,5.7,A28C,-27.466426849365234,-70.26539611816406,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,522,2,6.90,sIII,B,Soil,Intra,255.47,263.73,253.28,140.51,32.11,73.5,183.0,15.0,-82.0
38,38,2019,4,18,4,6,33,60.5,-29.37,-71.6,5.7,C32O,-30.85487174987793,-70.70735168457031,0.011,0.011,0.0131,0.0183,0.0239,0.0331,0.0395,0.0225,0.0122,0.018,0.0182,0.00635,0.00781,0.00366,0.00151,0.000523,0.000258,0.0001,5.94e-05,-12300.0,-12300.0,-12300.0,578,1,6.51,-12345,-12345,-12345,Intra,195.33,188.66,173.75,91.4,152.63,73.5,183.0,15.0,-82.0
39,39,2019,4,18,4,6,33,60.5,-29.37,-71.6,5.7,C28O,-29.290552139282227,-71.30760955810547,0.139,0.139,0.177,0.184,0.395,0.452,0.297,0.172,0.281,0.138,0.0752,0.0331,0.0258,0.0113,0.00658,0.00359,0.0014,0.000493,0.000244,0.000155,8.14e-05,-12300.0,-12345,-12345,-12345.0,sIII,C,Soil,Intra,67.41,78.87,28.62,24.71,72.84,73.5,183.0,15.0,-82.0
40,40,2019,4,18,4,6,33,60.5,-29.37,-71.6,5.7,A19C,-27.830368041992188,-70.10800170898438,0.0122,0.0122,0.0129,0.0145,0.0222,0.0205,0.0251,0.0318,0.0374,0.0388,0.0279,0.012,0.00597,0.0024,0.00108,0.000363,0.000204,7.68e-05,5.2e-05,3.16e-05,-12300.0,-12300.0,507,3,2.50,sIV,A,Soil,Intra,232.53,239.48,227.92,158.0,40.9,73.5,183.0,15.0,-82.0
41,41,2019,4,18,4,6,33,60.5,-29.37,-71.6,5.7,A05C,-27.36116409301757,-70.33992767333984,0.00803,0.00804,0.00965,0.0146,0.0212,0.0185,0.0221,0.0202,0.0196,0.0127,0.00791,0.00322,0.00228,0.00082,0.000553,0.00017,0.000138,4.66e-05,2.8e-05,1.8e-05,-12300.0,-12300.0,632,2,6.30,sIII,C,Soil,Intra,261.69,270.38,260.19,132.23,29.32,73.5,183.0,15.0,-82.0
44,44,2019,4,18,4,6,33,60.5,-29.37,-71.6,5.7,C14O,-30.12310791015625,-70.49061584472656,0.0443,0.0444,0.0486,0.0558,0.0777,0.0978,0.0907,0.107,0.0947,0.0537,0.0715,0.0732,0.0603,0.0155,0.00562,0.00244,0.00111,0.000434,0.000255,-12300.0,-12300.0,-12300.0,-12345,-12345,-12345.0,sIV,C,Soil,Intra,148.81,144.58,124.51,115.49,128.15,73.5,183.0,15.0,-82.0
46,46,2019,4,18,4,6,33,60.5,-29.37,-71.6,5.7,C11O,-30.696407318115234,-70.95890808105469,0.0247,0.0247,0.0275,0.0333,0.0549,0.062,0.0591,0.0522,0.0482,0.0456,0.0493,0.0229,0.00918,0.00403,0.00176,0.000959,0.000428,0.000152,8.91e-05,6.68e-05,-12300.0,-12300.0,626,1,3.87,sIII,B,Soil,Intra,170.6,164.98,147.71,63.45,157.35,73.5,183.0,15.0,-82.0
47,47,2019,4,18,4,6,33,60.5,-29.37,-71.6,5.7,C26O,-30.258947372436523,-71.49041748046875,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,364,3,1.87,sIV,C,Soil,Intra,116.11,115.15,88.65,4.4,173.89,73.5,183.0,15.0,-82.0
48,48,2019,4,18,4,6,33,60.5,-29.37,-71.6,5.7,C10O,-30.23392105102539,-71.08161163330078,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12345,-12345,-12345.0,sII,A,Rock,Intra,123.87,120.99,96.11,49.82,152.5,73.5,183.0,15.0,-82.0
49,49,2019,4,18,4,6,33,60.5,-29.37,-71.6,5.7,C27O,-29.384096145629883,-70.74481964111328,0.083,0.0835,0.134,0.352,0.18,0.122,0.0897,0.0415,0.0277,0.0202,0.0154,0.0108,0.00905,0.00526,0.00178,0.00115,0.000643,0.000272,0.000142,7.34e-05,-12300.0,-12300.0,-12345,-12345,-12345.0,sI,-,Rock,Intra,102.74,106.2,76.66,87.24,91.29,73.5,183.0,15.0,-82.0
51,51,2019,4,26,6,22,35,35.2,-25.92,-70.98,5.6,A06C,-27.349369049072266,-70.34779357910156,0.0138,0.0137,0.0156,0.0244,0.0408,0.0397,0.028,0.0234,0.0125,0.0113,0.00729,0.00761,0.00373,0.00112,0.000721,0.000334,0.00023,0.00014,9.46e-05,5.72e-05,-12300.0,-12300.0,483,2,5.81,-12345,-12345,-12345,Intra,174.02,189.39,186.29,83.58,158.46,34.1,213.0,46.0,106.0
53,53,2019,4,26,6,22,35,35.2,-25.92,-70.98,5.6,A01C,-27.070512771606445,-70.82676696777344,0.0119,0.0118,0.0129,0.0198,0.043,0.039,0.0172,0.0113,0.00955,0.00377,0.00369,0.00219,0.00138,0.000599,0.00028,0.000234,0.000195,0.000129,9e-05,6.01e-05,-12300.0,-12300.0,749,0,-,-12345,-12345,-12345,Intra,133.12,146.32,142.29,30.36,173.2,34.1,213.0,46.0,106.0
56,56,2019,4,26,6,22,35,35.2,-25.92,-70.98,5.6,A16C,-26.249536514282227,-69.62557983398438,0.0269,0.0269,0.0306,0.0408,0.0787,0.0929,0.0524,0.04,0.022,0.0191,0.0148,0.0139,0.0102,0.00513,0.00303,0.00122,0.000845,0.000286,0.000178,8.95e-05,-12300.0,-12300.0,-12345,-12345,-12345.0,sII,B,Rock,Intra,144.68,159.1,155.4,163.82,105.38,34.1,213.0,46.0,106.0
57,57,2019,4,26,6,22,35,35.2,-25.92,-70.98,5.6,A07C,-27.37404060363769,-70.31780242919922,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,441,3,2.51,-12345,-12345,-12345,Intra,177.6,193.04,190.0,86.91,157.89,34.1,213.0,46.0,106.0
58,58,2019,4,26,6,22,35,35.2,-25.92,-70.98,5.6,A29C,-27.421749114990234,-70.25967407226562,0.0176,0.0176,0.0189,0.0243,0.0412,0.0472,0.0372,0.0376,0.0291,0.0247,0.0142,0.00584,0.00283,0.0013,0.000748,0.000551,0.000442,0.000229,-12300.0,-12300.0,-12300.0,-12300.0,622,3,3.80,-12345,-12345,-12345,Intra,184.57,200.14,197.21,93.37,156.85,34.1,213.0,46.0,106.0
59,59,2019,4,26,6,22,35,35.2,-25.92,-70.98,5.6,A05C,-27.361167907714844,-70.33992004394531,0.0209,0.0209,0.0226,0.0305,0.0424,0.047,0.0455,0.0543,0.0521,0.0234,0.0135,0.00863,0.00469,0.00155,0.000894,0.000381,0.00029,0.000168,0.000112,6.08e-05,2.83e-05,-12300.0,632,2,6.30,sIII,C,Soil,Intra,175.49,190.87,187.8,84.45,158.38,34.1,213.0,46.0,106.0
62,62,2019,4,26,6,22,35,35.2,-25.92,-70.98,5.6,A04C,-27.299575805664062,-70.41317749023438,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,534,3,1.13,-12345,-12345,-12345,Intra,166.7,181.89,178.67,76.31,159.86,34.1,213.0,46.0,106.0
63,63,2019,4,26,6,22,35,35.2,-25.92,-70.98,5.6,A03C,-27.26163673400879,-70.77364349365234,0.00995,0.00995,0.0127,0.02,0.0285,0.0317,0.0224,0.0193,0.0138,0.0111,0.00634,0.00478,0.00169,0.00071,0.000365,0.000217,0.000174,0.000102,9.31e-05,6.06e-05,2.11e-05,-12300.0,648,3,6.71,-12345,-12345,-12345,Intra,154.14,167.6,164.09,36.26,172.17,34.1,213.0,46.0,106.0
64,64,2019,4,26,6,22,35,35.2,-25.92,-70.98,5.6,A19C,-27.830394744873047,-70.10801696777344,0.00934,0.00934,0.00967,0.0159,0.0221,0.0256,0.0216,0.0231,0.0255,0.0165,0.021,0.00924,0.00514,0.00137,0.000664,0.00034,0.0002,9.55e-05,6.88e-05,4.62e-05,-12300.0,-12300.0,507,3,2.50,sIV,A,Soil,Intra,231.41,246.98,244.62,110.22,157.94,34.1,213.0,46.0,106.0
65,65,2019,4,26,6,22,35,35.2,-25.92,-70.98,5.6,A28C,-27.46641731262207,-70.26539611816406,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,522,2,6.90,sIII,B,Soil,Intra,188.82,204.33,201.46,92.73,157.62,34.1,213.0,46.0,106.0
66,66,2019,4,26,6,22,35,35.2,-25.92,-70.98,5.6,A27C,-27.36710548400879,-70.33069610595703,0.0195,0.0195,0.0202,0.0219,0.0335,0.0485,0.0412,0.0461,0.0681,0.0532,0.026,0.0195,0.0121,0.00323,0.00132,0.000525,0.000407,0.000231,0.00013,7.59e-05,-12300.0,-12300.0,473,2,6.70,sVI,B,Soil,Intra,176.43,191.83,188.78,85.48,158.19,34.1,213.0,46.0,106.0
81,81,2019,4,19,21,37,41,93.5019,-20.33,-69.12,5.0,T08A,-20.27003288269043,-70.09413146972656,0.00954,0.00954,0.00983,0.0108,0.0164,0.0212,0.0277,0.0269,0.0171,0.0207,0.0134,0.0104,0.00659,0.00261,0.00121,0.000411,0.0002,8.06e-05,4.4e-05,2.84e-05,-12300.0,-12300.0,987,0,-,sIV,A,Soil,Intra,138.34,138.34,101.96,108.24,273.56,93.5019,0.0,0.0,-90.0
82,82,2019,4,19,21,37,41,93.5019,-20.33,-69.12,5.0,T10A,-19.995445251464844,-69.76705169677734,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,336,2,4.01,sIII,B,Soil,Intra,121.2,121.2,77.12,71.89,298.59,93.5019,0.0,0.0,-90.0
83,83,2019,4,19,21,37,41,93.5019,-20.33,-69.12,5.0,T05A,-20.209766387939453,-70.15022277832031,0.0069,0.00689,0.00702,0.00758,0.00883,0.0103,0.0153,0.02,0.0215,0.0186,0.0157,0.00668,0.00397,0.00146,0.000907,0.000319,0.000177,6.34e-05,-12300.0,-12300.0,-12300.0,-12300.0,1020,0,-,sIII,A,Soil,Intra,143.19,143.19,108.44,114.47,276.87,93.5019,0.0,0.0,-90.0
84,84,2019,4,19,21,37,41,93.5019,-20.33,-69.12,5.0,T15A,-20.239267349243164,-70.05392456054688,0.0185,0.0185,0.0199,0.0228,0.0363,0.0514,0.0673,0.0328,0.0222,0.0218,0.0201,0.013,0.00967,0.00355,0.00177,0.0007,0.000352,0.000135,7.09e-05,4.36e-05,-12300.0,-12300.0,1003,0,-,-12345,-12345,-12345,Intra,135.5,135.5,98.07,103.77,275.72,93.5019,0.0,0.0,-90.0
86,86,2019,4,19,21,37,41,93.5019,-20.33,-69.12,5.0,T11A,-19.31242561340332,-69.4272689819336,0.0171,0.0171,0.0175,0.0177,0.0203,0.0251,0.0335,0.0305,0.0426,0.0467,0.0284,0.0241,0.0141,0.00508,0.00244,0.000775,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12345,-12345,-12345.0,sV,B,Soil,Intra,149.89,149.89,117.16,34.14,344.0,93.5019,0.0,0.0,-90.0
87,87,2019,4,19,21,37,41,93.5019,-20.33,-69.12,5.0,T04A,-20.23908042907715,-70.13327026367188,0.00594,0.00594,0.0066,0.00938,0.0109,0.0104,0.0136,0.0162,0.0174,0.0173,0.0109,0.00738,0.00412,0.00174,0.00069,0.000257,0.000152,5.78e-05,3.39e-05,2.08e-05,-12300.0,-12300.0,1305,0,-,sIII,A,Soil,Intra,141.59,141.59,106.32,112.58,275.26,93.5019,0.0,0.0,-90.0
88,88,2019,4,19,21,37,41,93.5019,-20.33,-69.12,5.0,T03A,-20.23032188415528,-70.14586639404297,0.0105,0.0105,0.0107,0.0112,0.0137,0.0179,0.0272,0.0383,0.0347,0.0184,0.0109,0.00581,0.00403,0.00156,0.000628,0.000277,0.000152,6.72e-05,-12300.0,-12300.0,-12300.0,-12300.0,613,1,8.95,sII,C,Soil,Intra,142.65,142.65,107.73,113.98,275.7,93.5019,0.0,0.0,-90.0
