,Unnamed: 0,year,month,days,hour,minute,second,depth,latitude,longitude,magnitude,station,station_latitude,station_longitude,pga,sa0.01,sa0.02,sa0.03,sa0.05,sa0.07,sa0.1,sa0.15,sa0.2,sa0.25,sa0.3,sa0.4,sa0.5,sa0.75,sa1,sa1.5,sa2,sa3,sa4,sa5,sa7.5,sa10,Vs30,HVSRamp,fpeak,T*,P*,Rock/Soil,event_type,HypDist,RupDist,JBDist,XDist,Azimuth,RupDepth,Strike,Dip,Rake
10066,10066,2024,1,15,5,17,41,106.0,-22.78,-68.39,4.9,A20F,-22.45370483398437,-68.91007232666016,0.0117,0.0117,0.0123,0.0154,0.0286,0.0377,0.0374,0.0304,0.0176,0.00773,0.00685,0.00638,0.00741,0.00264,0.00149,0.000693,0.000399,0.000165,8.41e-05,4.96e-05,1.83e-05,-12300.0,-12345,-12345,-12345.0,sII,C,Soil,Intra,124.1,156.25,74.95,74.45,303.95,137.1,3.0,68.0,-49.0
10067,10067,2024,1,15,5,17,41,106.0,-22.78,-68.39,4.9,A05F,-22.89139175415039,-69.32068634033203,0.0127,0.0127,0.0163,0.0223,0.0299,0.0344,0.0279,0.0162,0.0159,0.0104,0.00519,0.0021,0.00133,0.000524,0.000245,0.00016,0.000107,4.76e-05,-12300.0,-12300.0,-12300.0,-12300.0,-12345,-12345,-12345.0,sII,B,Rock,Intra,143.23,177.39,112.56,120.08,262.46,137.1,3.0,68.0,-49.0
10068,10068,2024,11,24,12,57,18,131.0,-22.38,-68.54,4.9,A23F,-22.33690452575684,-68.6505355834961,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12345,-12345,-12345.0,sIV,B,Soil,Intra,131.58,128.32,24.27,24.5,292.72,126.0,131.0,28.0,-121.0
10069,10069,2024,11,24,12,57,18,131.0,-22.38,-68.54,4.9,A20F,-22.45372772216797,-68.91004943847656,0.0105,0.0105,0.0111,0.016,0.0278,0.0304,0.0423,0.0238,0.0175,0.0194,0.0117,0.00687,0.00769,0.00489,0.00245,0.00092,0.000437,0.000167,9.11e-05,5.88e-05,-12300.0,-12300.0,-12345,-12345,-12345.0,sII,C,Soil,Intra,136.67,137.04,53.9,53.34,257.83,126.0,131.0,28.0,-121.0
10072,10072,2024,11,24,12,57,18,131.0,-22.38,-68.54,4.9,A05F,-22.891393661499023,-69.32068634033203,0.00623,0.00623,0.00758,0.00959,0.0144,0.0184,0.0193,0.0127,0.00806,0.0072,0.00442,0.00185,0.00113,0.000741,0.000458,0.000196,8.09e-05,3.26e-05,-12300.0,-12300.0,-12300.0,-12300.0,-12345,-12345,-12345.0,sII,B,Rock,Intra,163.73,170.75,115.23,98.96,234.64,126.0,131.0,28.0,-121.0
10073,10073,2024,8,27,6,2,29,94.0,-22.49,-69.21,4.6,A05F,-22.89139938354492,-69.32064056396484,0.0355,0.0353,0.0456,0.0553,0.067,0.117,0.0611,0.0315,0.0387,0.0261,0.0169,0.011,0.00683,0.00251,0.00129,0.000502,0.000274,0.000118,-12300.0,-12300.0,-12300.0,-12300.0,-12345,-12345,-12345.0,sII,B,Rock,Intra,104.6,104.6,45.88,12.29,194.33,94.0,0.0,0.0,-90.0
10074,10074,2024,8,27,6,2,29,94.0,-22.49,-69.21,4.6,A20F,-22.453706741333008,-68.91004943847656,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12345,-12345,-12345.0,sII,C,Soil,Intra,99.02,99.02,31.13,33.33,82.64,94.0,0.0,0.0,-90.0
10076,10076,2024,8,27,6,2,29,94.0,-22.49,-69.21,4.6,A23F,-22.33690643310547,-68.65049743652344,0.00612,0.00612,0.00617,0.00667,0.00862,0.0101,0.012,0.0144,0.0213,0.0221,0.0155,0.011,0.00601,0.00245,0.00139,0.000531,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12300.0,-12345,-12345,-12345.0,sIV,B,Soil,Intra,111.54,111.54,60.05,62.17,73.71,94.0,0.0,0.0,-90.0
10087,10087,2025,3,21,13,59,3,104.0,-20.42,-69.08,4.7,T15A,-20.23926544189453,-70.05392456054688,0.00878,0.00877,0.01,0.0119,0.0188,0.0283,0.0221,0.0148,0.00577,0.00498,0.00602,0.00512,0.00278,0.0011,0.000685,0.000248,0.000131,5.31e-05,2.86e-05,1.71e-05,-12300.0,-12300.0,1003,0,-,-12345,-12345,-12345,Intra,146.83,146.83,103.65,108.21,280.96,104.0,0.0,0.0,-90.0
10088,10088,2025,3,21,13,59,3,104.0,-20.42,-69.08,4.7,T10A,-19.99545669555664,-69.7670669555664,0.0102,0.0102,0.0111,0.0126,0.019,0.0302,0.0166,0.0164,0.0213,0.0114,0.0138,0.00964,0.00437,0.00138,0.000581,0.000218,0.000114,5.03e-05,2.95e-05,-12300.0,-12300.0,-12300.0,336,2,4.01,sIII,B,Soil,Intra,134.84,134.84,85.82,76.34,303.09,104.0,0.0,0.0,-90.0
